IIASA_CODE,IIASA_CLASS
1,Polar desert
2,Subpolar dry tundra
3,Subpolar moist tundra
4,Subpolar wet tundra
5,Subpolar rain tundra
6,Boreal desert
7,Boreal dry scrub
8,Boreal moist forest
9,Boreal wet forest
10,Boreal rain forest
11,Cool temperate desert
12,Cool temperate desert scrub
13,Cool temperate steppe
14,Cool temperate moist forest
15,Cool temperate wet forest
16,Cool temperate rain forest
17,Warm temperate desert
18,Warm temperate desert scrub
19,Warm temperate thorn scrub
20,Warm temperate dry forest
21,Warm temperate moist forest
22,Warm temperate wet forest
23,Warm temperate rain forest
24,Subtropical desert
25,Subtropical desert scrub
26,Subtropical thorn woodland
27,Subtropical dry forest
28,Subtropical moist forest
29,Subtropical wet forest
30,Subtropical rain forest
31,Tropical desert
32,Tropical desert scrub
33,Tropical thorn woodland
34,Tropical very dry forest
35,Tropical dry forest
36,Tropical moist forest
37,Tropical wet forest
38,Tropical rain forest
